0.014,0.014,0.019,0.015,0.015,0.016,0.015,0.015,0.017,0.015,0.028,0.025,0.024,0.027,0.023,0.023,0.021,0.021,0.021,0.022,0.013,0.011,0.012,0.012,0.012,0.014,0.012,0.012,0.014,0.014,0.016,0.013,0.014,0.013,0.015,0.015,0.018,0.016,0.015,0.016
0.059,0.067,0.061,0.106,0.055,0.045,0.059,0.047,0.053,0.047,0.046,0.054,0.054,0.039,0.037,0.037,0.036,0.048,0.043,0.036,0.041,0.056,0.054,0.059,0.048,0.055,0.04,0.045,0.054,0.038,0.048,0.043,0.055,0.043,0.041,0.057,0.049,0.048,0.043,0.046
0.107,0.099,0.085,0.081,0.102,0.066,0.094,0.092,0.076,0.09,0.083,0.086,0.073,0.087,0.081,0.061,0.075,0.094,0.066,0.077,0.147,0.132,0.131,0.106,0.097,0.119,0.108,0.08,0.136,0.116,0.08,0.105,0.119,0.093,0.09,0.128,0.097,0.116,0.128,0.104
0.138,0.161,0.12,0.19,0.122,0.137,0.131,0.185,0.133,0.132,0.173,0.282,0.169,0.162,0.124,0.15,0.234,0.166,0.231,0.2,0.151,0.142,0.169,0.133,0.094,0.115,0.157,0.108,0.165,0.117,0.142,0.144,0.116,0.09,0.142,0.105,0.124,0.083,0.122,0.108
0.153,0.138,0.17,0.173,0.12,0.122,0.127,0.147,0.23,0.245,0.184,0.19,0.332,0.224,0.223,0.301,0.301,0.179,0.158,0.183,0.142,0.192,0.186,0.168,0.154,0.182,0.196,0.258,0.253,0.158,0.202,1.011,0.181,0.277,0.316,0.229,0.208,0.234,0.222,0.206
0.247,0.219,0.245,0.197,0.257,0.185,0.143,0.256,0.301,0.214,0.289,0.275,0.281,0.232,0.196,0.328,0.291,0.25,0.21,0.211,0.27,0.236,0.213,0.184,0.217,0.27,0.28,0.229,0.23,0.184,0.142,0.303,0.202,0.186,0.263,0.245,0.24,0.209,0.22,0.246
0.327,0.348,0.196,0.254,0.244,0.318,0.17,0.205,0.334,0.311,0.25,0.472,0.328,0.346,0.341,0.21,0.251,0.261,0.331,0.263,0.296,0.432,0.295,0.264,0.308,0.288,0.259,0.225,0.327,0.357,0.483,0.47,0.474,0.473,0.371,0.428,0.322,0.369,0.26,0.478
0.283,0.418,0.336,0.277,0.322,0.277,0.323,0.315,0.381,0.247,0.357,0.4,0.519,0.365,0.395,0.522,0.446,0.259,0.313,0.478,0.399,0.38,0.334,0.369,0.45,0.494,0.49,0.403,0.259,0.41,0.241,0.315,0.56,0.278,0.391,0.432,0.348,0.364,0.389,0.309
