0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0
0.001,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.002,0.01,0.003,0.002,0.017,0.003,0.002,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.006,0.002
0.009,0.008,0.01,0.009,0.009,0.089,0.009,0.011,0.056,0.011,0.007,0.017,0.014,0.013,0.011,0.011,0.012,0.009,0.009,0.009,0.008,0.007,0.008,0.008,0.009,0.006,0.01,0.008,0.009,0.01,0.012,0.014,0.01,0.015,0.012,0.009,0.008,0.012,0.009,0.012
0.051,0.081,0.086,0.085,0.049,0.052,0.051,0.039,0.044,0.045,0.044,0.065,0.05,0.042,0.049,0.039,0.04,0.035,0.044,0.048,0.044,0.049,0.051,0.056,0.06,0.057,0.043,0.049,0.056,0.042,0.049,0.067,0.065,0.069,0.077,0.095,0.052,0.068,0.059,0.099
0.176,0.134,0.145,0.169,0.207,0.144,0.139,0.11,0.113,0.212,0.57,0.101,0.322,0.112,0.114,0.15,0.127,0.101,0.144,0.138,0.188,0.179,0.218,0.202,0.203,0.191,0.182,0.279,0.133,0.183,0.129,0.196,0.142,0.16,0.201,0.23,0.221,0.231,0.279,0.187
0.286,0.313,0.347,0.384,0.314,0.382,0.418,0.272,0.409,0.292,0.441,0.265,0.266,0.274,0.269,0.434,0.292,0.385,0.306,0.413,0.325,0.463,0.273,0.275,0.336,0.43,0.246,0.435,0.281,0.31,2.14,0.842,0.37,0.348,1.543,1.161,0.463,0.348,0.385,0.452
0.72,0.641,0.945,0.574,0.576,0.746,0.491,0.865,0.715,1.803,0.501,0.593,0.458,1.612,0.497,0.494,0.486,0.695,0.5,0.491,0.65,0.802,0.529,0.554,0.875,0.728,0.572,0.559,0.643,0.563,0.648,0.514,0.724,0.548,0.725,0.724,0.679,0.594,0.755,0.614
1.599,1.58,2.142,1.783,1.826,1.825,1.835,1.799,2.234,1.796,1.689,1.644,2.532,2.249,2.885,3.147,2.734,2.745,1.946,2.689,1.63,2.643,2.253,1.972,3.306,1.948,1.462,1.646,2.2,2.087,2.725,2.536,1.784,2.549,1.875,2.202,2.067,1.783,1.764,1.796
22.231,16.993,19.801,17.515,18.219,17.432,25.166,19.464,14.928,17.329,22.828,20.528,15.523,21.427,17.671,22.657,19.357,23.212,21.615,23.661,12.158,12.245,13.841,10.485,13.941,12.182,13.904,10.545,10.451,10.446,10.603,12.682,12.683,14.397,12.496,14.309,18.197,10.712,18.151,16.237
