0.032,0.044,0.277,2.647,0.314,1.568,0.37,0.028,0.008,0.023,0.027,0.014,0.059,0.015,0.021,0.037,0.021,0.029,0.018,0.016,0.016,0.023,0.01,0.014,0.016,0.021,0.018,0.024,0.014,0.03,0.013,0.031,0.015,0.016,0.021,0.009,0.054,0.016,0.019,0.021
0.057,0.025,0.073,0.02,0.042,0.057,0.094,0.018,0.038,0.019,0.015,0.02,0.015,0.013,0.016,0.018,0.024,0.024,0.018,0.017,0.063,0.044,0.017,0.297,0.041,0.033,0.028,0.045,0.115,0.031,0.009,0.01,0.603,0.009,0.031,0.048,0.014,0.009,0.013,0.017
0.023,0.024,0.023,0.027,0.053,0.04,0.03,0.029,0.046,0.051,0.023,0.049,0.029,0.028,0.028,0.022,0.024,0.019,1.036,0.029,0.016,0.019,0.035,0.021,0.024,0.022,0.028,0.026,0.024,0.03,0.067,0.023,0.035,0.03,0.035,0.035,0.125,0.045,0.023,0.019
0.046,0.058,0.044,0.042,0.065,0.049,0.05,0.078,0.067,0.039,0.524,0.077,0.062,0.059,0.076,0.076,0.066,0.319,0.065,0.069,0.069,0.085,0.05,0.051,0.062,0.078,0.047,0.049,0.296,0.073,0.055,0.065,0.061,0.063,0.052,0.064,0.067,0.066,0.053,0.057
0.117,0.097,0.117,0.106,0.088,0.108,0.104,0.083,0.107,0.123,0.09,0.088,0.088,0.094,0.087,0.084,0.096,0.128,0.096,0.095,0.116,0.176,0.096,0.101,0.095,0.092,0.145,0.112,0.096,0.119,0.063,0.077,0.085,0.087,0.075,0.072,0.07,0.062,0.077,0.067
0.187,0.171,0.14,0.124,0.141,0.164,0.121,0.13,0.126,0.123,0.118,0.12,0.125,0.123,0.117,0.128,0.13,0.152,0.13,0.182,0.152,0.173,0.148,0.159,0.169,0.143,0.142,0.118,0.143,0.102,0.233,0.2,0.145,0.202,0.12,0.142,0.17,0.243,0.164,0.174
0.323,0.349,0.398,0.275,0.292,0.391,0.28,0.339,0.379,0.372,0.268,0.257,0.227,0.298,0.372,0.23,0.219,0.211,0.286,0.268,0.315,0.319,0.381,0.304,0.285,0.316,0.328,0.319,0.254,0.347,0.246,0.38,0.361,0.292,0.275,0.268,0.338,0.302,0.357,0.309
0.678,0.564,0.39,0.476,0.399,0.505,0.498,0.4,0.426,0.301,0.52,0.437,0.341,0.437,0.456,0.394,0.327,0.324,0.457,0.383,0.544,0.415,0.439,0.5,0.443,0.582,0.549,0.445,0.356,0.576,0.445,0.621,0.828,0.7,0.598,0.638,0.628,0.575,0.522,0.367
0.722,0.547,0.416,0.559,0.708,0.848,0.52,0.609,0.612,0.473,0.659,0.745,0.69,0.731,0.856,0.964,0.627,0.644,0.584,0.739,0.565,0.63,0.589,0.584,0.461,0.851,0.706,0.659,0.431,0.419,0.458,0.519,0.522,0.751,0.408,0.578,0.457,0.583,0.529,0.529
0.745,0.636,0.479,0.571,0.626,0.634,0.61,0.755,0.771,0.872,0.5,0.619,0.717,0.865,1.01,0.841,0.81,0.972,1.009,0.57,0.616,0.54,0.927,0.5,0.945,0.726,0.547,0.958,1.003,0.578,0.935,1.266,1.269,1.054,0.91,0.966,1.313,1.165,1.125,1.265
