8.0,10.0,8.0,8.0,9.0,9.0,11.0,12.0,9.0,8.0,11.0,8.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,11.0,12.0,13.0,14.0,11.0,11.0,15.0,10.0,11.0,11.0,11.0,9.0,10.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0
31.0,12.0,25.0,17.0,21.0,12.0,28.0,12.0,22.0,17.0,16.0,16.0,31.0,39.0,18.0,16.0,18.0,13.0,29.0,17.0,15.0,27.0,11.0,15.0,17.0,14.0,32.0,29.0,20.0,25.0,16.0,14.0,10.0,28.0,23.0,22.0,21.0,24.0,38.0,24.0
18.0,34.0,13.0,30.0,15.0,32.0,60.0,23.0,24.0,29.0,49.0,14.0,35.0,19.0,25.0,24.0,20.0,21.0,17.0,23.0,39.0,20.0,31.0,15.0,22.0,29.0,21.0,19.0,38.0,29.0,20.0,11.0,28.0,37.0,10.0,13.0,26.0,20.0,32.0,22.0
15.0,21.0,22.0,34.0,23.0,30.0,29.0,37.0,30.0,18.0,27.0,28.0,27.0,27.0,28.0,30.0,27.0,27.0,18.0,39.0,20.0,22.0,13.0,17.0,27.0,20.0,23.0,18.0,16.0,78.0,45.0,72.0,34.0,95.0,68.0,50.0,61.0,49.0,72.0,45.0
45.0,18.0,29.0,33.0,34.0,22.0,49.0,38.0,33.0,25.0,34.0,68.0,110.0,117.0,76.0,79.0,99.0,15.0,23.0,176.0,20.0,42.0,31.0,36.0,27.0,59.0,29.0,40.0,15.0,46.0,16.0,19.0,24.0,21.0,13.0,15.0,30.0,16.0,14.0,20.0
66.0,42.0,21.0,43.0,39.0,21.0,30.0,30.0,13.0,55.0,36.0,29.0,46.0,25.0,42.0,28.0,78.0,24.0,42.0,121.0,27.0,27.0,80.0,75.0,27.0,38.0,95.0,56.0,39.0,63.0,17.0,42.0,70.0,23.0,17.0,117.0,46.0,33.0,26.0,24.0
29.0,154.0,100.0,154.0,92.0,117.0,115.0,39.0,112.0,40.0,18.0,94.0,39.0,109.0,80.0,553.0,105.0,103.0,109.0,100.0,45.0,153.0,59.0,110.0,128.0,225.0,205.0,144.0,107.0,297.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,15.0,68.0,91.0,74.0,31.0,532.0,102.0,174.0,525.0,96.0,111.0,516.0,169.0,100.0,63.0,85.0,52.0,71.0,154.0,81.0
172.0,401.0,371.0,62.0,41.0,117.0,145.0,102.0,31.0,737.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
