0.012,0.005,0.007,0.006,0.014,0.008,0.015,0.011,0.007,0.012,0.006,0.006,0.014,0.012,0.011,0.008,0.024,0.005,0.015,0.007,0.015,0.006,0.007,0.007,0.007,0.009,0.009,0.005,0.004,0.004,0.007,0.009,0.012,0.012,0.012,0.01,0.006,0.005,0.007,0.005
0.027,0.085,0.028,0.018,0.033,0.032,0.032,0.019,0.034,0.067,0.028,0.039,0.032,0.02,0.02,0.026,0.026,0.02,0.044,0.05,0.028,0.027,0.042,0.037,0.024,0.028,0.026,0.03,0.03,0.02,0.018,0.028,0.014,0.036,0.021,0.027,0.025,0.016,0.041,0.02
0.022,0.026,0.043,0.022,0.032,0.056,0.024,0.043,0.033,0.036,0.029,0.05,0.047,0.055,0.058,0.047,0.105,0.038,0.051,0.044,0.045,0.053,0.04,0.037,0.036,0.071,0.06,0.051,0.024,0.05,0.025,0.036,0.102,0.056,0.035,0.047,0.044,0.036,0.033,0.053
0.057,0.055,0.054,0.075,0.073,0.088,0.08,0.059,0.071,0.096,0.04,0.048,0.048,0.036,0.045,0.046,0.032,0.04,0.025,0.029,0.091,0.063,0.049,0.058,0.043,0.04,0.079,0.045,0.035,0.049,0.043,0.046,0.044,0.042,0.043,0.026,0.043,0.038,0.031,0.035
0.051,0.048,0.049,0.05,0.044,0.061,0.066,0.043,0.048,0.039,0.086,0.05,0.065,0.04,0.055,0.057,0.071,0.074,0.057,0.094,0.064,0.07,0.112,0.045,0.059,0.057,0.063,0.079,0.096,0.093,0.052,0.058,0.057,0.067,0.062,0.062,0.077,0.05,0.045,0.076
0.049,0.1,0.061,0.069,0.118,0.065,0.096,0.068,0.078,0.069,0.078,0.074,0.061,0.075,0.072,0.057,0.079,0.072,0.072,0.049,0.079,0.205,0.055,0.111,0.122,0.076,0.111,0.08,0.138,0.165,0.078,0.075,0.138,0.086,0.067,0.097,0.216,0.087,0.074,0.242
0.104,0.073,0.076,0.216,0.118,0.181,0.095,0.087,0.165,0.123,0.093,0.092,0.094,0.086,0.122,0.156,0.125,0.115,0.096,0.094,0.089,0.124,0.076,0.091,0.071,0.067,0.116,0.128,0.126,0.065,0.151,0.099,0.154,0.083,0.067,0.084,0.098,0.121,0.091,0.092
0.117,0.111,0.204,0.092,0.146,0.146,0.097,0.107,0.146,0.114,0.128,0.086,0.134,0.132,0.114,0.124,0.115,0.121,0.138,0.122,0.077,0.099,0.079,0.076,0.112,0.095,0.138,0.096,0.077,0.102,0.14,0.099,0.086,0.181,0.098,0.136,0.114,0.099,0.177,0.118
