0.002,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.003,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.0,0.003,0.0,0.0,0.001,0.002,0.0,0.001,0.001,0.001,0.0,0.002,0.0,0.001,0.001,0.001
0.003,0.003,0.002,0.002,0.001,0.002,0.002,0.001,0.008,0.002,0.001,0.002,0.001,0.003,0.004,0.0,0.002,0.002,0.002,0.003,0.003,0.003,0.005,0.003,0.002,0.002,0.004,0.002,0.002,0.001,0.003,0.002,0.004,0.004,0.002,0.001,0.002,0.002,0.003,0.002
0.005,0.005,0.006,0.004,0.006,0.003,0.003,0.006,0.006,0.004,0.006,0.006,0.006,0.004,0.012,0.005,0.005,0.005,0.01,0.004,0.005,0.006,0.004,0.005,0.012,0.006,0.005,0.01,0.01,0.005,0.004,0.004,0.005,0.003,0.005,0.007,0.005,0.008,0.004,0.006
0.023,0.018,0.023,0.017,0.019,0.025,0.016,0.062,0.016,0.024,0.019,0.02,0.014,0.019,0.018,0.015,0.024,0.026,0.029,0.034,0.021,0.016,0.018,0.012,0.019,0.023,0.023,0.021,0.015,0.016,0.054,0.02,0.02,0.015,0.05,0.02,0.021,0.021,0.03,0.027
0.041,0.031,0.032,0.044,0.038,0.047,0.045,0.051,0.06,0.038,0.094,0.062,0.077,0.07,0.074,0.083,0.079,0.058,0.042,0.064,0.055,0.046,0.062,0.047,0.048,0.036,0.043,0.054,0.058,0.076,0.065,0.047,0.066,0.05,0.041,0.054,0.033,0.071,0.042,0.05
0.104,0.107,0.112,0.099,0.124,0.098,0.108,0.105,0.077,0.078,0.07,0.069,0.12,0.114,0.068,0.1,0.06,0.067,0.086,0.076,0.108,0.092,0.12,0.125,0.077,0.105,0.08,0.108,0.066,0.092,0.106,0.08,0.084,0.143,0.114,0.288,0.157,0.127,0.059,0.084
0.194,0.135,0.226,0.226,0.156,0.176,0.183,0.197,0.169,0.189,0.137,0.21,0.188,0.177,0.227,0.124,0.224,0.114,0.193,0.104,0.125,0.219,0.109,0.137,0.197,0.144,0.211,0.184,0.11,0.225,0.136,0.184,0.142,0.227,0.224,0.218,0.19,0.15,0.119,0.289
0.349,0.342,0.353,0.472,0.403,0.391,0.588,0.327,0.404,0.359,0.56,0.527,0.407,0.482,0.665,0.435,0.608,0.728,0.694,0.416,0.49,0.416,0.405,0.487,0.53,0.458,0.548,0.422,0.409,0.704,0.708,0.701,0.631,0.371,0.891,0.422,0.566,0.759,0.644,0.819
5.731,4.629,3.039,4.623,5.592,5.097,3.62,4.077,6.282,5.109,3.211,4.672,4.149,3.295,3.592,3.156,3.039,2.705,3.598,3.644,3.3,2.241,2.257,4.323,3.233,2.31,3.383,5.052,2.859,3.242,2.459,2.913,3.466,2.579,2.54,6.032,3.066,4.394,4.483,3.006
10.052,10.007,13.592,9.941,10.306,15.307,11.637,13.614,10.165,14.948,20.289,12.823,12.847,12.711,17.841,12.841,20.584,15.286,15.286,15.539,14.822,22.7,22.446,14.665,17.151,21.183,14.509,11.968,17.092,22.629,20.356,23.327,25.252,30.784,14.914,14.729,30.575,14.68,12.464,12.401
