36.0,12.0,4.0,11.0,3.0,31.0,4.0,5.0,32.0,4.0,4.0,6.0,6.0,6.0,24.0,4.0,20.0,13.0,11.0,37.0,58.0,8.0,57.0,14.0,51.0,13.0,13.0,32.0,50.0,86.0,48.0,131.0,19.0,78.0,244.0,65.0,18.0,35.0,7.0,19.0
33.0,4.0,8.0,10.0,8.0,24.0,3.0,14.0,17.0,6.0,6.0,7.0,7.0,13.0,16.0,76.0,8.0,4.0,18.0,41.0,16.0,7.0,6.0,5.0,9.0,5.0,9.0,12.0,3.0,5.0,147.0,11.0,49.0,44.0,14.0,16.0,23.0,87.0,48.0,32.0
4.0,102.0,58.0,9.0,53.0,4.0,3.0,78.0,23.0,24.0,7.0,14.0,6.0,13.0,56.0,5.0,13.0,22.0,19.0,8.0,8.0,11.0,10.0,17.0,18.0,23.0,4.0,5.0,49.0,8.0,2.0,21.0,10.0,5.0,4.0,9.0,11.0,7.0,10.0,20.0
8.0,17.0,3.0,5.0,17.0,10.0,15.0,9.0,8.0,27.0,2.0,25.0,4.0,10.0,60.0,54.0,7.0,8.0,41.0,2.0,41.0,94.0,2.0,14.0,2.0,35.0,42.0,4.0,36.0,18.0,13.0,55.0,24.0,16.0,7.0,7.0,4.0,3.0,3.0,6.0
4.0,3.0,11.0,4.0,3.0,10.0,7.0,7.0,3.0,14.0,4.0,22.0,5.0,2.0,5.0,15.0,13.0,6.0,13.0,5.0,24.0,18.0,14.0,6.0,9.0,61.0,37.0,21.0,4.0,11.0,6.0,5.0,19.0,16.0,6.0,8.0,5.0,17.0,15.0,10.0
13.0,4.0,11.0,12.0,25.0,2.0,2.0,11.0,12.0,13.0,9.0,4.0,7.0,5.0,5.0,6.0,3.0,2.0,13.0,3.0,5.0,36.0,20.0,20.0,6.0,9.0,67.0,34.0,4.0,30.0,3.0,7.0,11.0,6.0,18.0,5.0,9.0,9.0,5.0,6.0
7.0,15.0,6.0,6.0,5.0,2.0,16.0,2.0,3.0,6.0,6.0,2.0,4.0,6.0,5.0,21.0,5.0,4.0,2.0,9.0,16.0,14.0,5.0,5.0,9.0,4.0,9.0,16.0,7.0,20.0,5.0,5.0,6.0,6.0,2.0,23.0,7.0,16.0,11.0,10.0
6.0,6.0,5.0,24.0,4.0,11.0,4.0,11.0,5.0,4.0,3.0,5.0,10.0,5.0,5.0,4.0,9.0,5.0,8.0,4.0,14.0,16.0,10.0,9.0,8.0,5.0,7.0,9.0,7.0,6.0,34.0,8.0,2.0,7.0,14.0,10.0,2.0,2.0,4.0,16.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,43.0,13.0,16.0,31.0,27.0,5.0,16.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,13.0,9.0,32.0,3.0,3.0,27.0,3.0,14.0,13.0,2.0,2.0,3.0,4.0
8.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,6.0,3.0,2.0,11.0,2.0,4.0,2.0,4.0,5.0,13.0,2.0,5.0,3.0,3.0,2.0,19.0,3.0,3.0,2.0,3.0,4.0,3.0,6.0,3.0,3.0,14.0,5.0,4.0,8.0,6.0,9.0,7.0
