0.017,0.004,0.002,0.003,0.0,0.015,0.001,0.002,0.015,0.001,0.002,0.002,0.002,0.003,0.012,0.002,0.009,0.004,0.005,0.015,0.026,0.006,0.031,0.008,0.024,0.005,0.005,0.017,0.024,0.043,0.025,0.07,0.007,0.038,0.141,0.03,0.008,0.016,0.003,0.008
0.016,0.002,0.004,0.004,0.003,0.011,0.001,0.007,0.008,0.001,0.003,0.004,0.002,0.007,0.006,0.042,0.003,0.001,0.008,0.019,0.007,0.003,0.003,0.002,0.003,0.002,0.002,0.005,0.001,0.003,0.064,0.005,0.021,0.019,0.006,0.007,0.008,0.043,0.025,0.014
0.002,0.054,0.03,0.006,0.033,0.002,0.001,0.042,0.013,0.013,0.002,0.006,0.002,0.006,0.027,0.002,0.005,0.009,0.009,0.003,0.004,0.007,0.005,0.009,0.01,0.012,0.002,0.001,0.021,0.004,0.0,0.009,0.005,0.002,0.002,0.004,0.004,0.003,0.005,0.011
0.003,0.009,0.001,0.003,0.007,0.005,0.009,0.005,0.004,0.013,0.002,0.013,0.003,0.006,0.028,0.022,0.004,0.006,0.021,0.001,0.022,0.047,0.0,0.007,0.001,0.019,0.019,0.003,0.017,0.01,0.008,0.028,0.013,0.01,0.005,0.004,0.003,0.002,0.002,0.004
0.004,0.003,0.008,0.004,0.003,0.006,0.006,0.006,0.003,0.007,0.004,0.013,0.005,0.003,0.006,0.012,0.009,0.005,0.009,0.004,0.013,0.01,0.009,0.004,0.005,0.03,0.019,0.012,0.003,0.005,0.005,0.004,0.011,0.009,0.005,0.005,0.004,0.009,0.009,0.005
0.009,0.005,0.009,0.013,0.016,0.004,0.005,0.009,0.008,0.012,0.007,0.005,0.006,0.006,0.005,0.007,0.005,0.005,0.008,0.005,0.006,0.026,0.014,0.014,0.006,0.008,0.043,0.022,0.006,0.021,0.004,0.008,0.01,0.007,0.011,0.007,0.008,0.007,0.007,0.007
0.01,0.013,0.009,0.009,0.007,0.007,0.013,0.007,0.006,0.008,0.01,0.007,0.007,0.008,0.008,0.017,0.012,0.01,0.009,0.014,0.014,0.013,0.008,0.009,0.011,0.009,0.009,0.014,0.008,0.013,0.009,0.009,0.011,0.008,0.006,0.02,0.011,0.015,0.01,0.011
0.011,0.011,0.012,0.02,0.012,0.015,0.011,0.015,0.011,0.011,0.01,0.012,0.014,0.012,0.011,0.011,0.013,0.01,0.013,0.011,0.015,0.014,0.012,0.012,0.012,0.011,0.01,0.011,0.011,0.011,0.026,0.012,0.01,0.012,0.015,0.014,0.01,0.01,0.01,0.017
0.015,0.015,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.014,0.029,0.012,0.013,0.022,0.018,0.009,0.015,0.009,0.009,0.009,0.008,0.01,0.01,0.009,0.011,0.01,0.01,0.014,0.011,0.023,0.014,0.014,0.027,0.014,0.019,0.02,0.014,0.014,0.014,0.016
0.023,0.019,0.021,0.023,0.023,0.024,0.024,0.019,0.02,0.019,0.011,0.015,0.011,0.012,0.011,0.012,0.014,0.018,0.011,0.012,0.019,0.022,0.022,0.031,0.024,0.024,0.023,0.018,0.019,0.02,0.023,0.022,0.02,0.023,0.019,0.02,0.022,0.019,0.024,0.023
